publish_time,title,account,article_url,category,companies,keywords,summary,importance,reason,relevance_score,quality_score,importance_score,source_reliability_score,originality_score,source_type,technology_route,evidence_level,is_promotional,selection_reason
2026年7月20日 16:51,硬氪首发 | 离子束装备商博顿光电获超亿元融资，已批量导入光通信、核聚变、量子计算头部客户,36氪/腾讯新闻,https://news.qq.com/rain/a/20260720A086KG00,融资,博顿光电、毅达资本、中信建投资本、达武创投、友谊时光、南控基金,博顿光电、离子源、离子束、超亿元融资、量子计算、核聚变、光通信、专精特新,中山博顿光电完成超亿元B+轮融资，由毅达资本等投资。公司是国家级专精特新小巨人，专注于离子源和离子束超精密工艺设备国产化，已批量导入可控核聚变（近100%市占率）、光通信、量子科技等前沿领域头部客户，牵头和参与两项国家量子科技重大专项，营收年增长超50%。,中,博顿光电是国内离子束设备龙头，获超亿元融资且已深度参与量子科技国家重大专项，但在量子行业属于供应链上游设备商而非核心量子企业,70,82,68,78,80,行业媒体,量子综合,高,否,博顿光电作为量子产业链上游核心设备商，获超亿元融资并参与两项国家量子重大专项，是量子生态重要组成部分，值得纳入行业周报
2026年7月3日 13:19,三星计划引入量子计算，量子领域投融资大爆发！,新浪财经,https://finance.sina.com.cn/stock/relnews/cn/2026-07-03/doc-inifpcve0421739.shtml,市场动态,三星、三星SDS、本源量子、亨通光电、富信科技、中天科技、电科网安、格尔软件、神州信息、腾景科技、国芯科技、国盾量子、三未信安、中国电信、中国长城,三星、量子计算、光刻仿真、融资、本源量子、Pre-IPO、空芯光纤、量子通信,三星计划在半导体光刻仿真技术中引入量子计算，由子公司SDS主导研发，已攻克核心算法并拟下半年启动概念验证。2026年上半年国内量子产业融资53起、总额146.86亿元，同比增长超260%；本源量子6月完成30亿元Pre-IPO轮融资刷新纪录。A股量子概念股表现分化，中天科技联合中国电信建成全球首例长距离低损耗空芯光纤量子通信网络。,高,三星引入量子计算是国际科技巨头的重要动向，叠加国内量子行业上半年融资超260%增长，信息密度高,90,78,82,75,60,综合媒体,量子综合,高,否,三星计划引入量子计算于半导体光刻、国内量子融资数据翔实（146.86亿元，同比增260%），含多家上市公司量子业务进展，事实密度高，值得入选日报
2026年7月15日 12:54,中泰将合作共建泰国首台离子阱量子计算机,新华网,https://www.news.cn/world/20260715/a5faa0d6497c426883b016548e50aca6/c.html,合作,朱拉隆功大学、中国科学技术大学、合肥幺正量子科技有限公司,中泰合作、离子阱、量子计算机、朱拉隆功大学、中国科学技术大学、幺正量子、量子技术出海,泰国朱拉隆功大学7月14日宣布，将与中国科学技术大学、合肥幺正量子科技有限公司合作，共建泰国首台离子阱量子计算机。该项目将用于建设量子科技联合实验室、开展量子算法真机验证和培养量子科技人才，标志着中国离子阱量子计算技术整建制出海。,高,中国量子计算技术整建制出口的标志性事件，新华网官方报道，具有行业里程碑意义,95,80,85,95,90,政府,离子阱,高,否,中国量子计算技术整建制出海首例，新华社官方报道，合作方及技术路线明确，行业里程碑意义强，应入选日报
2026年07月17日 11:21,复旦大学团队最新研究成果突破单电子量子存储 登上《科学》主刊,中国新闻网,https://www.chinanews.com/sh/2026/07-17/10661202.shtml,科研进展,复旦大学,单电子存储、量子闪存、复旦大学、周鹏-刘春森团队、Science、《科学》,"复旦大学周鹏-刘春森团队在《科学》主刊发表研究成果，成功实现""单电子量子存储""——仅用1个电子即可存储1比特信息，且断电后信息不丢失。团队发明""量子闪存""技术，首次在室温下清晰观测到单电子的非易失性存储行为，解决了算力存储瓶颈问题，有望大幅降低存储能耗和空间。",高,登上《科学》主刊的重大基础科研突破，实现单电子存储这一存储物理学的里程碑，对算力提升有深远影响。,75,90,82,90,85,综合媒体,量子综合,高,否,复旦大学团队在《科学》主刊发表的单电子量子存储突破，是存储物理学的重要里程碑，对量子计算和经典计算均有深远意义，值得纳入量子行业日报。
2026年7月18日,"2026世界人工智能大会""未来计算·未来算力""专题论坛在沪召开，共识凝聚五问",量子位,https://www.qbitai.com/2026/07/454774.html,会议活动,中国科学技术大学、香港城市大学、复旦大学、本源量子、国盾量子、量旋科技、华翊量子,WAIC、未来计算、量子计算、潘建伟、陆朝阳、九章四号、量子智能产业联盟,"2026世界人工智能大会""未来计算·未来算力""专题论坛在上海举行。潘建伟院士指出量子计算正在从实验室走向产业化，陆朝阳介绍""九章四号""最新突破，本源量子等企业共同成立量子智能产业联盟。论坛围绕国家规划、教育、企业、资本、应用五层面凝聚共识，强调量子计算已从""哲学问题""变成""工程问题""。",高,WAIC 2026量子专题论坛汇聚潘建伟、陆朝阳等顶级专家，发布量子智能产业联盟等重大成果，标志中国量子计算进入产业协同攻坚期。,95,88,85,75,70,行业媒体,量子综合,高,否,WAIC 2026量子专题论坛是近期量子计算领域最重要的行业会议，汇聚顶尖学者与企业，发布多项成果，对跟踪量子计算产业化进展有极高价值。
2026年07月16日 20:53,"估值达210亿元，合肥量子计算独角兽，""争分夺秒""冲刺IPO",证券时报（新浪财经）,https://finance.sina.com.cn/stock/marketresearch/2026-07-16/doc-inihzfcz8223119.shtml,融资,本源量子、国盾量子、国仪量子、中科大、合肥高投,本源量子、Pre-IPO、融资30亿、估值210亿、合肥、量子计算、科创板,"本源量子完成近30亿元Pre-IPO轮融资后近日增资，注册资本从3000万增至3.6亿元，冲刺""量子计算第一股""。公司投前估值达210亿元，为国内估值最高的量子计算公司。本源量子已推出第四代超导量子计算机""本源悟空-180""，并已累计完成超100万个全球量子计算任务。",高,本源量子是国内估值最高的量子计算公司，30亿Pre-IPO融资及增资冲刺IPO，是量子计算赛道标志性投融资事件。,100,85,88,80,75,综合媒体,超导量子,高,否,本源量子作为国内估值最高的量子计算独角兽，完成30亿Pre-IPO轮融资并冲刺IPO，是量子计算行业融资标志性事件，对跟踪行业投融资动态至关重要。
2026-07-16,全球量子计算研究进入关键跨越期,中国科学报,https://news.sciencenet.cn/sbhtmlnews/2026/7/390502.shtm,科研进展,中国科学技术大学、谷歌、IBM、Quantinuum、C12,容错量子计算机、量子优越性、九章四号、祖冲之、国家量子计划、后量子密码,"新华社报道指出全球量子计算研究进入关键跨越期。中科大""九章四号""光量子原型机、谷歌Willow芯片等突破使容错量子计算机预期提前。美国2026年6月签署行政令加强量子研发，欧盟启动量子技术旗舰计划，日本计划投入370万亿日元。文章呼吁全球合作，避免""小院高墙""和过度炒作。",高,国家级通讯社系统性报道全球量子计算战略态势，涵盖多国政策与技术突破,95,85,85,95,60,行业媒体,量子综合,高,否,新华社/中国科学报权威报道，系统梳理全球量子计算进入实用化关键期的战略态势，涵盖中美欧日政策对比与技术突破，信息密度高，适合纳入行业日报
2026年07月17日,上海交大曾贵华教授团队在含噪量子传感方向取得重要进展,生物通（转自上海交大新闻学术网）,https://www.ebiotrade.com/newsf/2026-7/20260717085239872.htm,科研进展,上海交通大学,量子传感、量子纠错、不定因果序、海森堡极限、PRL、量子计量学,上海交大曾贵华教授团队在《Physical Review Letters》发表论文，首次将不定因果序引入量子纠错设计，提出基于不定因果序的量子纠错协议（IQEC），可在含噪环境中恢复海森堡极限精度，为噪声鲁棒量子传感提供了新理论工具。,中,国际顶级期刊PRL发表，理论创新性强，属于量子传感前沿突破,85,85,70,80,65,科研机构,量子传感,高,否,上海交大在PRL发表量子传感纠错重要理论成果，学术创新性强，可作为量子精密测量领域进展纳入行业周报
2026-07-16,浙江量子精密测量仪器研发商国测量子完成超亿元Pre-B轮战略融资,Fastdata极数,https://www.ifastdata.com/2026/07/16/%e6%b5%99%e6%b1%9f%e9%87%8f%e5%ad%90%e7%b2%be%e5%af%86%e6%b5%8b%e9%87%8f%e4%bb%aa%e5%99%a8%e7%a0%94%e5%8f%91%e5%95%86%e5%9b%bd%e6%b5%8b%e9%87%8f%e5%ad%90%e5%ae%8c%e6%88%90%e8%b6%85%e4%ba%bf%e5%85%83pre-b/,融资,国测量子、湖州锦坤股权投资、湖州南太湖聚创股权投资,国测量子、Pre-B轮、量子精密测量、芯片原子钟、融资,量子精密测量仪器研发商国测量子完成超亿元人民币Pre-B轮战略融资，由湖州锦坤股权投资、湖州南太湖聚创股权投资共同投资。公司专注于芯片原子钟等量子精密测量高端仪器的自主研发与国产化，打破国外技术壁垒和军事管制禁运。,中,量子精密测量领域Pre-B轮超亿元融资，聚焦国产替代自主可控,80,60,60,55,40,行业媒体,量子测量,中,否,量子精密测量赛道融资事件，国测量子聚焦芯片原子钟国产替代，有一定行业参考价值，可纳入行业日报简要条目
2026-07-22 10:33:14,量子计算赛道投资热度再起：2026年Q1融资额逼近2025全年,36氪（原文来自IT桔子）,https://www.36kr.com/p/3726874411989385,融资,逻辑比特、经纬创投、深创投、达晨财智、图灵量子、玻色量子、本源量子、国仪量子、量旋科技、太一量生、深度原理、弧光量子,量子计算、融资、逻辑比特、2026年Q1、光量子、超导量子、合肥、北京、上海,"IT桔子发布的深度报告显示，2026年Q1国内量子计算赛道融资额达22.04亿元，几乎追平2025年全年（24.73亿元）。逻辑比特完成数亿元Pre-A轮融资，经纬创投、深创投等入局。光量子（26.1亿）、超导量子（16.3亿）、量子精密测量（21.15亿）三足鼎立。合肥（31.9亿）、北京（25.7亿）、上海（24.4亿）形成第一梯队。报告指出资本从""投技术""转向""投落地、投商业化""。",高,"系统性地展示了2026年Q1量子计算投融资全景：单季融资逼近全年水平，多技术路线并行发展，头部企业估值进入独角兽行列，行业正从""科研探索期""迈向""工程化攻坚期""。",95,88,82,70,65,行业媒体,光量子、超导量子、离子阱、量子测量、量子软件,高,否,数据驱动的量子投融资深度报告，涵盖2026年Q1完整融资数据、技术路线分析、地域格局和资本生态，对关注量子行业投融资趋势具有重要参考价值，建议纳入日报。
2026-07-20 16:16,从意念游戏到量子计算整机落地，未来产业在WAIC上有了实感,界面新闻/新浪科技,https://finance.sina.com.cn/tech/roll/2026-07-20/doc-iniimuye9839597.shtml,市场动态,中器无量、原子矩阵、不筹量子、图灵量子、太一量生、两仪万象,WAIC 2026、中性原子量子计算、量超融合、量子计算整机、产业落地,"WAIC 2026上，多家中性原子量子计算企业展示整机落地成果。中器无量发布""清河一号""中性原子量子计算机，原子矩阵将MatriQ量子计算机与智算集群对接形成超量混训装置。国内中性原子路线企业半年内从1家增至21家，太一量生、两仪万象等获数亿元融资。行业探索""量超融合""路径，让量子计算先接入现有算力体系。",中,WAIC上多款量子整机集中展示，中性原子路线爆发式增长，量超融合路径清晰,95,80,75,80,75,行业媒体,中性原子、光量子,高,否,WAIC现场一手报道，中性原子路线爆发式增长和量超融合路径有重要行业参考价值
2026-07-20 11:10,"量观知元 WAIC 2026演讲回顾：用AI破除量子计算的""两朵乌云""",新华网,https://www.news.cn/finance/20260720/f4be568586d54ee8a764d71b94139104/c.html,技术研发,量观知元、中国移动、谷歌、IBM、Quantinuum、QuEra,量子计算、AI、Quantum Agent、量超融合、容错量子计算、WAIC 2026,"新华网报道量观知元在WAIC 2026上提出量子计算面临""两朵乌云""：机器不易用和算力应用未打开。公司发布AI-QOS操作系统和Quantum Agent OS方案，将量子实验从专家级操作降为意图级操作，校准周期从数天压缩至数小时。谷歌Willow实现纠错阈值运行，Quantinuum Helios达98比特全连通，国内完成11000原子阵列构建。",中,新华网权威报道，AI+量子计算融合新思路，涉及多条技术路线最新进展,95,82,72,95,70,政府,量子综合,高,否,新华网权威报道AI破除量子计算瓶颈的前沿方案，有产业启发价值
2026-07-19 18:30,AI下一步往哪走？WAIC 2026主论坛或许给出了答案,腾讯新闻/半导体产业纵横,https://news.qq.com/rain/a/20260719A07XDJ00,会议活动,中国科学技术大学、蒙特利尔大学、清华大学、复旦大学,WAIC 2026、潘建伟、量子计算、量子加密、后量子密码、科研范式,WAIC 2026主论坛上，潘建伟院士表示量子信息技术正推动人类文明巨大跨越，能破解经典密码体系并推动化学、材料科学等发展。2025年图灵奖得主布拉萨德指出量子计算可能破解现有加密体系，量子加密可提供无条件通讯保护。潘建伟研判通用量子计算机仍需长期攻关，需理性看待防止行业泡沫。,高,潘建伟院士等顶级学者在WAIC主论坛研判量子计算发展趋势，权威性极高,90,85,80,85,75,综合媒体,量子综合,高,否,WAIC主论坛权威嘉宾研判量子计算与AI发展趋势，对行业战略判断有重要参考价值
2026-07-21 11:20:43,Q2业绩虽承压，IBM 加速推进量子计算产业化落地,光纤在线,https://www.c-fol.net/news/4_202607/20260721113152.html,市场动态,IBM、美国商务部,IBM、量子计算、容错量子计算机、Anderon、超导量子代工厂、百亿美元投资,IBM宣布未来五年投入超100亿美元加码量子计算全产业链布局，明确2029年下半年交付全球首台大规模容错量子计算机的核心目标。该投资获美国商务部10亿美元最高额资助，将共建美国首家纯量子代工厂Anderon，专注于300毫米量子晶圆制造。尽管2026年Q2业绩承压，IBM仍坚定推进量子计算与企业AI长期战略。,高,IBM投入超百亿美元并获美国政府10亿美元资助，明确2029年交付全球首台大规模容错量子计算机，属于重大产业化战略事件，行业影响巨大。,95,80,85,65,40,行业媒体,超导量子,高,否,IBM百亿美元级量子投资计划获美国政府最高额资助，目标2029年交付全球首台容错量子计算机，信息密度高、事实明确、行业影响大，值得入选量子行业日报。
